WallIDX	TGTConc	PrjFlux	EroFlux_n_by_n	EroFluxPartial_n_by_n
0	0.283677	0.0403582	0.000401978	0.00141703
1	0.272172	0.0397059	0.000269109	0.000988745
2	0.328174	0.0733025	0.00165081	0.0050303
3	0.421292	0.128052	0.0130259	0.0309189
4	0.316289	0.0954432	0.00186928	0.00591004
5	0.301983	0.0848447	0.00107544	0.00356126
6	0.299473	0.0999121	0.00137725	0.00459892
7	0.301829	0.107406	0.00155132	0.00513972
8	0.295997	0.0828384	0.00111667	0.00377259
9	0.297997	0.062995	0.000748358	0.00251129
10	0.331927	0.0612321	0.00150978	0.00454852
11	0.345848	0.0417725	0.00119709	0.00346133
12	0.274274	0.0175458	0.000100082	0.000364898
13	0.244429	0.0121506	4.7928e-05	0.000196081
14	0.268941	0.0135193	8.44501e-05	0.00031401
15	0.284032	0.0396348	0.000389235	0.00137039
16	0.26742	0.0325741	0.000206817	0.000773379
17	0.28338	0.0383719	0.000316764	0.00111781
18	0.309565	0.0618383	0.000980757	0.00316817
19	0.302209	0.0626023	0.000723067	0.0023926
20	0.306108	0.0891925	0.00126649	0.00413742
21	0.339516	0.158339	0.00460959	0.013577
22	0.372338	0.217844	0.0105487	0.0283309
23	0.301373	0.0909704	0.00125441	0.00416233
24	0.290087	0.0536473	0.000521892	0.00179909
25	0.289472	0.034653	0.000296969	0.0010259
26	0.305517	0.0237165	0.000217246	0.000711078
27	0.281856	0.0145514	8.61729e-05	0.000305733
28	0.239933	0.0110269	4.03636e-05	0.000168229
29	0.266793	0.0130003	8.03195e-05	0.000301056
30	0.283646	0.0367675	0.000355451	0.00125315
31	0.269324	0.0278524	0.000179535	0.000666615
32	0.298896	0.0346229	0.000343883	0.00115051
33	0.309667	0.0451223	0.000661386	0.00213579
34	0.301574	0.0575539	0.000738821	0.00244989
35	0.300956	0.0821807	0.00115121	0.00382518
36	0.307924	0.129399	0.0022815	0.00740932
37	0.332474	0.166683	0.00433173	0.0130288
38	0.300869	0.0950981	0.00134823	0.00448113
39	0.294876	0.0592823	0.000706572	0.00239616
40	0.306848	0.0442077	0.000782238	0.00254927
41	0.325244	0.0296151	0.000654713	0.00201299
42	0.290514	0.0146782	0.000112079	0.000385795
43	0.238996	0.00992623	3.48314e-05	0.00014574
44	0.266943	0.0123463	7.54937e-05	0.000282809
45	0.283877	0.0369926	0.000358316	0.00126222
46	0.271667	0.0317949	0.000204827	0.000753964
47	0.31239	0.0482833	0.000586839	0.00187854
48	0.318492	0.062635	0.00106626	0.00334785
49	0.304669	0.065283	0.000863094	0.00283289
50	0.298411	0.0715101	0.000806443	0.00270246
51	0.30357	0.107311	0.00162833	0.00536392
52	0.307845	0.13032	0.00252274	0.00819484
53	0.300915	0.0879986	0.0012117	0.00402671
54	0.298328	0.0609779	0.000690026	0.00231298
55	0.313764	0.0535009	0.000841835	0.00268302
56	0.359271	0.0420107	0.00129603	0.00360738
57	0.296565	0.0186616	0.000132463	0.000446656
58	0.249303	0.0119029	4.44397e-05	0.000178255
59	0.269309	0.0131696	8.3697e-05	0.000310784
60	0.286068	0.0426389	0.000434494	0.00151885
61	0.275527	0.0412626	0.000266546	0.000967404
62	0.419694	0.125397	0.0113905	0.0271401
63	0.447376	0.198031	0.0430117	0.0961422
64	0.381003	0.135063	0.00640467	0.01681
65	0.302408	0.09121	0.00119294	0.00394479
66	0.333903	0.157942	0.00445434	0.0133402
67	0.362613	0.199547	0.00827951	0.0228329
68	0.30389	0.103895	0.00156642	0.00515456
69	0.30831	0.084524	0.00126444	0.00410119
70	0.447845	0.148229	0.0279587	0.0624294
71	0.459447	0.110164	0.0298005	0.0648617
72	0.369455	0.0404376	0.0015289	0.00413826
73	0.234428	0.0140591	4.62488e-05	0.000197284
74	0.26757	0.0148133	9.12466e-05	0.000341019
75	0.285587	0.0448251	0.000470132	0.00164619
76	0.268482	0.0437872	0.000279766	0.00104203
77	0.397272	0.115475	0.00660975	0.0166378
78	0.44951	0.200005	0.0361869	0.080503
79	0.348744	0.118671	0.00345944	0.00991971
80	0.294448	0.0837455	0.000969206	0.0032916
81	0.297411	0.101082	0.0013518	0.00454524
82	0.302834	0.1141	0.0016885	0.00557565
83	0.299918	0.090129	0.00126552	0.00421956
84	0.294498	0.0665918	0.000692171	0.00235034
85	0.40868	0.101852	0.00764902	0.0187164
86	0.438438	0.089276	0.0120334	0.0274461
87	0.307293	0.028284	0.000236364	0.000769179
88	0.243318	0.0148319	5.60246e-05	0.000230252
89	0.267997	0.0147969	9.50182e-05	0.00035455
90	0.0453882	4.63371	0.00399154	0.0879422
91	0.0818756	0.310369	0.000985767	0.0120398
92	0.0589568	0.00374733	5.43186e-06	9.2133e-05
93	0.00649683	0.000273304	2.97963e-09	4.58628e-07
