WallIDX	TGTConc	PrjFlux	EroFlux_n_by_d	EroFluxPartial_n_by_d
0	0.283677	13.9803	0.0450379	0.158765
1	0.272172	9.01952	0.0197526	0.0725739
2	0.328174	6.21475	0.0451505	0.137581
3	0.421292	6.35323	0.156149	0.370643
4	0.316289	9.299	0.0592593	0.187358
5	0.301983	13.6615	0.0570041	0.188766
6	0.299473	16.7597	0.0757615	0.252983
7	0.301829	17.1124	0.0792995	0.26273
8	0.295997	15.4448	0.0658271	0.222391
9	0.297997	10.6219	0.0403431	0.135381
10	0.331927	5.75396	0.044305	0.133478
11	0.345848	3.00571	0.0268016	0.0774953
12	0.274274	2.98799	0.00510853	0.0186256
13	0.244429	5.30153	0.00624547	0.0255513
14	0.268941	8.43508	0.0167096	0.062131
15	0.284032	13.8464	0.0444361	0.156447
16	0.26742	8.87778	0.0184194	0.0688782
17	0.28338	6.07158	0.0158975	0.0560997
18	0.309565	6.19288	0.03163	0.102176
19	0.302209	9.14522	0.0350983	0.116139
20	0.306108	13.5176	0.0632178	0.206522
21	0.339516	16.6654	0.146504	0.431507
22	0.372338	17.0426	0.228274	0.613085
23	0.301373	15.3143	0.0691848	0.229566
24	0.290087	10.4793	0.0328714	0.113316
25	0.289472	5.62681	0.0157474	0.0544006
26	0.305517	2.87192	0.00811684	0.0265675
27	0.281856	2.849	0.00481568	0.0170856
28	0.239933	5.15974	0.00575623	0.023991
29	0.266793	8.31091	0.0160435	0.0601345
30	0.283646	13.9009	0.0446162	0.157295
31	0.269324	8.88477	0.0189106	0.0702151
32	0.298896	6.08309	0.0192937	0.0645499
33	0.309667	6.21177	0.0292267	0.0943811
34	0.301574	9.16065	0.0393387	0.130445
35	0.300956	13.5226	0.0623939	0.207319
36	0.307924	16.6724	0.0947762	0.307791
37	0.332474	17.0544	0.134162	0.403526
38	0.300869	15.3251	0.0716106	0.238013
39	0.294876	10.4866	0.0400977	0.135981
40	0.306848	5.62829	0.0320826	0.104555
41	0.325244	2.88747	0.020056	0.0616643
42	0.290514	2.86339	0.00659466	0.0227
43	0.238996	5.16145	0.0057157	0.0239155
44	0.266943	8.33536	0.0161419	0.0604695
45	0.283877	13.9549	0.0449565	0.158366
46	0.271667	9.02781	0.0198831	0.073189
47	0.31239	6.2166	0.026123	0.083623
48	0.318492	6.36544	0.0370656	0.116379
49	0.304669	9.30881	0.0416047	0.136557
50	0.298411	13.6674	0.0527754	0.176855
51	0.30357	16.7541	0.084422	0.278097
52	0.307845	17.106	0.103814	0.337228
53	0.300915	15.4637	0.0705979	0.234611
54	0.298328	10.6587	0.0398121	0.133451
55	0.313764	5.7596	0.0317293	0.101125
56	0.359271	3.01469	0.0305972	0.0851647
57	0.296565	3.00184	0.00721881	0.0243414
58	0.249303	5.32994	0.00655016	0.0262738
59	0.269309	8.45283	0.0168141	0.0624342
60	0.286068	13.7351	0.0444713	0.155457
61	0.275527	8.72894	0.0189182	0.0686617
62	0.419694	5.9071	0.138663	0.330392
63	0.447376	6.02396	0.218322	0.488005
64	0.381003	9.00792	0.128132	0.336303
65	0.302408	13.3722	0.0575134	0.190185
66	0.333903	16.5507	0.13808	0.413534
67	0.362613	16.9798	0.198551	0.547556
68	0.30389	15.0854	0.0732893	0.241171
69	0.30831	10.2214	0.0511464	0.165893
70	0.447845	5.4742	0.190387	0.425118
71	0.459447	2.76489	0.105917	0.230531
72	0.369455	2.71832	0.0331772	0.0898003
73	0.234428	5.02115	0.0052578	0.0224283
74	0.26757	8.19662	0.0157632	0.0589126
75	0.285587	13.8928	0.0452104	0.158307
76	0.268482	8.89351	0.01855	0.0690922
77	0.397272	6.0081	0.100001	0.251719
78	0.44951	6.08708	0.208646	0.464164
79	0.348744	9.02714	0.0837582	0.240171
80	0.294448	13.3826	0.050439	0.1713
81	0.297411	16.6333	0.0714856	0.24036
82	0.302834	17.0166	0.0802957	0.265147
83	0.299918	15.1867	0.0669655	0.223279
84	0.294498	10.3578	0.0351895	0.11949
85	0.40868	5.5398	0.112394	0.275017
86	0.438438	2.78787	0.0835407	0.190542
87	0.307293	2.74088	0.00732875	0.0238494
88	0.243318	5.05747	0.00572404	0.0235249
89	0.267997	8.23544	0.0159401	0.0594787
90	0.0453882	1682.85	0.100408	2.2122
91	0.0818756	53.2958	0.0125703	0.153529
92	0.0589568	1.18757	9.74854e-05	0.00165351
93	0.00649683	1.18757	7.08499e-07	0.000109053
