WallIDX	TGTConc	PrjFlux	EroFlux_al_by_al	EroFluxPartial_al_by_al
0	0.716323	0.0370555	0.00119753	0.00167177
1	0.727828	0.0349013	0.00083897	0.0011527
2	0.671826	0.0501213	0.00252816	0.00376311
3	0.578708	0.0934644	0.0127027	0.0219501
4	0.683711	0.0642207	0.00296026	0.00432969
5	0.698016	0.0607867	0.0020415	0.00292471
6	0.700527	0.0759537	0.00283489	0.0040468
7	0.698171	0.0784271	0.00290076	0.00415479
8	0.704003	0.0653408	0.00234682	0.00333353
9	0.702003	0.046908	0.00153601	0.00218804
10	0.668073	0.042404	0.00229125	0.00342964
11	0.654152	0.0291243	0.00166932	0.00255188
12	0.725726	0.013709	0.000258707	0.000356481
13	0.755571	0.0107918	0.000181633	0.000240392
14	0.731059	0.0118116	0.000251995	0.000344699
15	0.715968	0.0358081	0.00108999	0.00152241
16	0.732579	0.0302287	0.000730234	0.000996799
17	0.71662	0.031572	0.000813303	0.00113491
18	0.690434	0.04425	0.0017611	0.00255071
19	0.697791	0.0450391	0.00139394	0.00199764
20	0.693892	0.0611675	0.00218029	0.00314212
21	0.660484	0.119349	0.00706768	0.0107008
22	0.627662	0.169481	0.0137701	0.0219387
23	0.698627	0.0664485	0.00236977	0.00339204
24	0.709913	0.0420668	0.00116396	0.00163958
25	0.710528	0.027149	0.000715172	0.00100654
26	0.694483	0.016506	0.000377526	0.000543607
27	0.718143	0.0102019	0.000178903	0.000249118
28	0.760067	0.0102023	0.000163657	0.000215319
29	0.733207	0.0118472	0.000247257	0.000337226
30	0.716354	0.0338714	0.00102107	0.00142538
31	0.730676	0.0255957	0.00059086	0.000808649
32	0.701104	0.0241862	0.000645571	0.000920791
33	0.690333	0.029967	0.00108818	0.00157632
34	0.698426	0.0421951	0.00141985	0.00203292
35	0.699044	0.0613916	0.00229585	0.00328428
36	0.692076	0.0899605	0.00387751	0.00560271
37	0.667526	0.115527	0.00610819	0.0091505
38	0.699131	0.0714846	0.00276814	0.00395941
39	0.705124	0.0465642	0.00157552	0.00223438
40	0.693152	0.0320233	0.00147821	0.0021326
41	0.674756	0.0189725	0.000915838	0.00135729
42	0.709486	0.0103005	0.000214602	0.000302475
43	0.761004	0.00942429	0.00015656	0.000205728
44	0.733057	0.0112995	0.000231821	0.000316239
45	0.716123	0.0338919	0.00100124	0.00139814
46	0.728333	0.0285041	0.000630742	0.000866007
47	0.68761	0.0315802	0.000887971	0.00129139
48	0.681508	0.0396606	0.00149935	0.00220005
49	0.695331	0.0466583	0.00157229	0.00226122
50	0.701589	0.0524895	0.00165713	0.00236196
51	0.696429	0.0778492	0.0030315	0.00435291
52	0.692155	0.0970723	0.00464723	0.00671414
53	0.699085	0.0650555	0.00241715	0.00345759
54	0.701672	0.0448858	0.00138512	0.00197403
55	0.686236	0.036211	0.00136563	0.00199004
56	0.640729	0.0271314	0.00138862	0.00216725
57	0.703435	0.01309	0.00025219	0.000358513
58	0.750697	0.00998044	0.000151231	0.000201455
59	0.73069	0.0113981	0.000242498	0.000331875
60	0.713932	0.03637	0.00111992	0.00156866
61	0.724473	0.0343877	0.000733242	0.0010121
62	0.580306	0.0902916	0.0105879	0.0182455
63	0.552624	0.162018	0.0442445	0.0800626
64	0.618997	0.0971786	0.00719335	0.011621
65	0.697591	0.0660695	0.00220212	0.00315675
66	0.666097	0.124179	0.0073085	0.0109721
67	0.637387	0.149851	0.0109706	0.0172119
68	0.69611	0.0748849	0.00288296	0.00414152
69	0.69169	0.0592564	0.00220039	0.00318118
70	0.552155	0.11373	0.0270035	0.0489057
71	0.540552	0.083349	0.027893	0.0516009
72	0.630544	0.0297258	0.001989	0.00315442
73	0.765572	0.0134133	0.000219075	0.000286159
74	0.73243	0.0130003	0.000281171	0.000383889
75	0.714412	0.0388191	0.00125271	0.00175348
76	0.731518	0.0394383	0.000915579	0.00125162
77	0.602728	0.0794459	0.00654202	0.010854
78	0.55049	0.1442	0.0311151	0.0565226
79	0.651256	0.0819331	0.00458475	0.00703986
80	0.705552	0.0662504	0.00219582	0.00311221
81	0.702589	0.0787435	0.0029573	0.00420915
82	0.697166	0.0829029	0.00320085	0.00459123
83	0.700082	0.0669858	0.00250201	0.00357388
84	0.705502	0.0513965	0.00151525	0.00214776
85	0.59132	0.0757871	0.00808907	0.0136797
86	0.561562	0.0611187	0.0102528	0.0182577
87	0.692707	0.0204444	0.000401027	0.000578927
88	0.756682	0.0129015	0.000210138	0.000277709
89	0.732003	0.0129087	0.000300378	0.000410351
90	0.129616	2.74088	0.0134138	0.103489
91	0.18419	0.183745	0.00203965	0.0110736
92	0.125783	0.00261281	1.19017e-05	9.46206e-05
93	0.0114746	0.000221858	8.52883e-09	7.43279e-07
