WallIDX	TGTConc	PrjFlux	EroFlux_al_by_d	EroFluxPartial_al_by_d
0	0.716323	13.9803	0.115568	0.161335
1	0.727828	9.01952	0.05318	0.0730668
2	0.671826	6.21475	0.0863186	0.128484
3	0.578708	6.35323	0.205197	0.354578
4	0.683711	9.299	0.119785	0.175199
5	0.698016	13.6615	0.125097	0.179218
6	0.700527	16.7597	0.172786	0.246652
7	0.698171	17.1124	0.177015	0.253542
8	0.704003	15.4448	0.154492	0.219448
9	0.702003	10.6219	0.0910039	0.129635
10	0.668073	5.75396	0.0844321	0.126382
11	0.654152	3.00571	0.0474817	0.0725852
12	0.725726	2.98799	0.0123779	0.0170559
13	0.755571	5.30153	0.0194216	0.0257045
14	0.731059	8.43508	0.0455004	0.062239
15	0.715968	13.8464	0.113489	0.158511
16	0.732579	8.87778	0.0517903	0.0706958
17	0.71662	6.07158	0.0391988	0.0546995
18	0.690434	6.19288	0.0659834	0.095568
19	0.697791	9.14522	0.0757931	0.108619
20	0.693892	13.5176	0.135087	0.194679
21	0.660484	16.6654	0.27934	0.422932
22	0.627662	17.0426	0.379388	0.604446
23	0.698627	15.3143	0.154632	0.221336
24	0.709913	10.4793	0.078095	0.110006
25	0.710528	5.62681	0.0367665	0.0517453
26	0.694483	2.87192	0.0158494	0.0228219
27	0.718143	2.849	0.0105401	0.0146768
28	0.760067	5.15974	0.0186342	0.0245165
29	0.733207	8.31091	0.0445276	0.0607299
30	0.716354	13.9009	0.114448	0.159764
31	0.730676	8.88477	0.0523069	0.071587
32	0.701104	6.08309	0.0416531	0.0594108
33	0.690333	6.21177	0.0602254	0.0872411
34	0.698426	9.16065	0.08709	0.124695
35	0.699044	13.5226	0.140482	0.200963
36	0.692076	16.6724	0.203737	0.294385
37	0.667526	17.0544	0.258301	0.386953
38	0.699131	15.3251	0.161662	0.231233
39	0.705124	10.4866	0.0936657	0.132836
40	0.693152	5.62829	0.0697555	0.100635
41	0.674756	2.88747	0.0384149	0.0569315
42	0.709486	2.86339	0.0144621	0.0203839
43	0.761004	5.16145	0.0186962	0.0245678
44	0.733057	8.33536	0.0447595	0.0610586
45	0.716123	13.9549	0.1151	0.160727
46	0.728333	9.02781	0.0539416	0.0740618
47	0.68761	6.2166	0.0514118	0.0747689
48	0.681508	6.36544	0.0717436	0.105272
49	0.695331	9.30881	0.0896703	0.12896
50	0.701589	13.6674	0.118846	0.169396
51	0.696429	16.7541	0.187104	0.268662
52	0.692155	17.106	0.228517	0.330154
53	0.699085	15.4637	0.15879	0.227139
54	0.701672	10.6587	0.0892299	0.127168
55	0.686236	5.7596	0.064006	0.0932711
56	0.640729	3.01469	0.0500994	0.0781913
57	0.703435	3.00184	0.0149361	0.0212331
58	0.750697	5.32994	0.0193622	0.0257923
59	0.73069	8.45283	0.045632	0.0624505
60	0.713932	13.7351	0.111195	0.15575
61	0.724473	8.72894	0.0487643	0.06731
62	0.580306	5.9071	0.18236	0.314248
63	0.552624	6.02396	0.260775	0.471885
64	0.618997	9.00792	0.199802	0.322784
65	0.697591	13.3722	0.126232	0.180954
66	0.666097	16.5507	0.273024	0.409887
67	0.637387	16.9798	0.341709	0.536109
68	0.69611	15.0854	0.161124	0.231463
69	0.69169	10.2214	0.107802	0.155854
70	0.552155	5.4742	0.225601	0.408582
71	0.540552	2.76489	0.117432	0.217244
72	0.630544	2.71832	0.054013	0.0856609
73	0.765572	5.02115	0.0179251	0.023414
74	0.73243	8.19662	0.0432765	0.0590862
75	0.714412	13.8928	0.11376	0.159236
76	0.731518	8.89351	0.0515556	0.0704775
77	0.602728	6.0081	0.142385	0.236235
78	0.55049	6.08708	0.240446	0.436786
79	0.651256	9.02714	0.14716	0.225963
80	0.705552	13.3826	0.11809	0.167373
81	0.702589	16.6333	0.165454	0.235492
82	0.697166	17.0166	0.177794	0.255024
83	0.700082	15.1867	0.15147	0.21636
84	0.705502	10.3578	0.0808463	0.114594
85	0.59132	5.5398	0.156397	0.264488
86	0.561562	2.78787	0.0986049	0.17559
87	0.692707	2.74088	0.013822	0.0199536
88	0.756682	5.05747	0.0177443	0.0234502
89	0.732003	8.23544	0.0436143	0.0595821
90	0.129616	1682.85	0.179979	1.38855
91	0.18419	53.2958	0.0161991	0.0879477
92	0.125783	1.18757	8.98935e-05	0.000714671
93	0.0114746	1.18757	8.92249e-07	7.77586e-05
