SDTrimSP: VERSION 6.00    16.03.2022
D -> Al2O3                                                                      
flue.-step out-layer     atoms  each-out max-layer calc_mom.  n-projec stat./dyn
        nh       nqx       ncp     idout      nqxm  ncp_proj     idrel
     10000       500         3      1000      5000         1         1
     D         Al        O    
  fluence-step,dsurface                   : fluc,srrc
  surface atomic fraction                 : csf(ncp)
  Momente                                 : flib(5,qbeam)
  areal densities (atoms/A^2)             : ard(1:ncp)
  number projectils                       : nproj
  number particle backscattered           : iback_p(1:ncp)
  energy particle backscattered           : eback_p(1:ncp)
  number particle transmission            : itran_p(1:ncp)
  energy particle transmission            : etran_p(1:ncp)
  number particle backsputtering          : iback_r(1:ncp)
  energy particle backsputtering          : eback_r(1:ncp)
  number particle transmission sputtering : itran_r(1:ncp)
  energy particle transmission sputtering : etran_r(1:ncp)
  energy all projectils                   : e_tot_p(1:ncp)
  number particle reemission              : reem   (1:ncp)
  number particle chemical erosion        : d_chem (1:ncp)
  0.00000000E+00  0.00000000E+00
  0.00000000E+00  0.40000000E+00  0.60000000E+00 !--- csf(ncp)      
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.00000000E+00  0.47078000E+02  0.70617000E+02 !--- ard(1:ncp)    
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00
   center[A]  density[a/A^3]  atomic fraction  
   xxx(*)       dns(*)       (qux(*,jp),jp=1,ncp)
0.100000E+01   0.117695E+00      0.00000  0.40000  0.60000  0.00000  0.00000
0.300000E+01   0.117695E+00      0.00000  0.40000  0.60000  0.00000  0.00000
0.500000E+01   0.117695E+00      0.00000  0.40000  0.60000  0.00000  0.00000
